	Characteristics	OR	CI	Beta	P	SE
555	BMI	1.004	0.9991-1.0088	0.00395002937128863	0.109864796105154	0.00246301908444029
556	hypertensionyes	0.9873	0.9658-1.0092	-0.0128316591757662	0.252974959067522	0.011202393500491
557	s_Pseudomonas_psychrophila	Inf	0-Inf	1903.171963496	0.461679015024726	2582.08502675831
558	sexmale	0.9858	0.9618-1.0105	-0.0142853402249551	0.258084143980766	0.0126065840997203
559	BMI	1.0041	0.9992-1.0089	0.00407117675775469	0.0995151855658767	0.00246362193621083
560	hypertensionyes	0.9876	0.9662-1.0095	-0.0124367893580503	0.267028061165068	0.0111833602580527
561	s_Pseudomonas_otitidis	0	0-1.15993008938396e+48	-70.792171235256	0.445117863482574	92.5839874665816
562	sexmale	0.9854	0.9613-1.01	-0.0147383282609573	0.243340430632786	0.0126069267554463
563	BMI	1.0039	0.9991-1.0088	0.00392468691140911	0.111780810812298	0.00246045057285226
564	hypertensionyes	0.9871	0.9657-1.009	-0.0129815375375775	0.246767047969337	0.0111853051974558
565	s_Pseudomonas_oryzihabitans	3.42222320667135e+254	0-Inf	586.086904020795	0.699685745943123	1517.85527907922
566	sexmale	0.9851	0.961-1.0099	-0.0149619284229015	0.238679068284518	0.0126717132900769
567	BMI	1.0039	0.9991-1.0088	0.00392464251257705	0.112371120223767	0.00246449217326613
568	hypertensionyes	0.9872	0.9657-1.0091	-0.0129165840253759	0.249934372646354	0.0112042773135197
569	s_Pseudoglutamicibacter_albus	0.0159	0-3.59041339953124e+53	-4.14365099806482	0.949238021926875	65.0300654467819
570	sexmale	0.9857	0.9615-1.0104	-0.0144361447242279	0.254421798224026	0.012641707378417
571	BMI	1.004	0.9991-1.0088	0.00397064967028355	0.107910848064755	0.00246218130437485
572	hypertensionyes	0.9874	0.966-1.0093	-0.0126973708078112	0.257697257630081	0.0111961022894783
573	s_Provencibacterium_massiliense	5936774060942.67	0-2.25832645570308e+77	29.4121870143943	0.698541747020711	75.868106723875
574	sexmale	0.9859	0.9618-1.0106	-0.0141862114951176	0.262510664994484	0.0126361679311354
575	BMI	1.004	0.9991-1.0088	0.00396342712031721	0.108471278981901	0.00246162807367376
576	hypertensionyes	0.9876	0.9662-1.0095	-0.0124645263090567	0.266641389293236	0.0111992245525703
577	s_Proteus_mirabilis	260.5514	0.0014-47406337.0443	5.56280022850919	0.368748126573204	6.17931951129495
578	sexmale	0.985	0.9609-1.0097	-0.0151154619134977	0.23189051314471	0.0126170283733956
579	BMI	1.0039	0.9991-1.0088	0.00389706863494565	0.114265044767656	0.00246011835067398
580	hypertensionyes	0.9884	0.9669-1.0104	-0.0116792910707763	0.299117808188001	0.0112279603376563
581	s_Propionibacterium_acidifaciens	0	0-Inf	-1126.43726375321	0.337286605642215	1171.98375049628
582	sexmale	0.9854	0.9613-1.01	-0.0147317896521594	0.243210716133791	0.0125978578377885
583	BMI	1.0038	0.999-1.0087	0.0038107590516824	0.123047639990758	0.00246391672900778
584	hypertensionyes	0.9871	0.9658-1.009	-0.0129456542660052	0.247640783206914	0.0111750725832109
585	s_Prevotellamassilia_timonensis	1.0025	0.3598-2.793	0.00245535208062845	0.996255855916462	0.522786056160287
586	sexmale	0.9856	0.9614-1.0104	-0.0144944580235075	0.254195140570347	0.0126867027197635
587	BMI	1.004	0.9991-1.0088	0.00397073943583652	0.10807358003634	0.00246337927466327
588	hypertensionyes	0.9874	0.966-1.0093	-0.0126735617692204	0.258425302749808	0.0111922505286323
589	s_Prevotella_oris	4.25754723272707e+134	0-Inf	309.9950956887	0.547749008955916	515.074437562047
590	sexmale	0.9848	0.9607-1.0096	-0.0152781542315375	0.229068406056055	0.0126756717775278
591	BMI	1.004	0.9992-1.0088	0.00397414485503144	0.107385004141901	0.00246065215775319
592	hypertensionyes	0.9869	0.9655-1.0089	-0.0131381079036936	0.24212232554427	0.0112090356502087
593	s_Prevotella_disiens	0	0-4.13116788144088e+46	-60.1866021134031	0.481892764260789	85.4714676214986
594	sexmale	0.9852	0.9611-1.0099	-0.0148942862466615	0.238804445225489	0.0126178014645438
595	BMI	1.0039	0.9991-1.0088	0.00391829260240326	0.112475338130318	0.00246122164842359
596	hypertensionyes	0.9869	0.9655-1.0088	-0.0131797215485493	0.240380813523548	0.0112029020958977
597	s_Prevotella_denticola	2.4789982376018e+107	0-Inf	247.284459492485	0.564371563974155	428.550460106549
598	sexmale	0.9858	0.9618-1.0105	-0.0142588131320577	0.259262678334833	0.0126144235169193
599	BMI	1.004	0.9991-1.0088	0.00394823563252161	0.109748367385537	0.00246109035253867
600	hypertensionyes	0.9877	0.9663-1.0096	-0.0123731313930499	0.269970556382424	0.0111948713423403
601	s_Prevotella_buccalis	3703649.6566	0-2.62833674476839e+29	15.1248292851151	0.573592488917725	26.8451477762267
602	sexmale	0.9856	0.9615-1.0103	-0.0144977030875595	0.251162566600972	0.0126085104141259
603	BMI	1.004	0.9992-1.0089	0.00403015257799437	0.102879480567675	0.00246306856441913
604	hypertensionyes	0.9876	0.9662-1.0095	-0.0124640972518081	0.266233147980465	0.011189261897732
605	s_Prevotella_bivia	0	0-1875701463978	-23.046629501938	0.379363293106614	26.1768537354323
606	sexmale	0.985	0.961-1.0097	-0.0150849360540317	0.232822323617831	0.0126167591788442
607	BMI	1.0039	0.9991-1.0088	0.00390748087712776	0.113281140531205	0.00245995465109233
608	hypertensionyes	0.9883	0.9668-1.0103	-0.0117778542979324	0.294741749627123	0.0112204121742886
609	s_Porphyromonas_endodontalis	0	0-1.09217249113225e+113	-229.515985032932	0.359151400619128	249.896055798479
610	sexmale	0.9853	0.9612-1.0099	-0.0148453765885077	0.239797943086978	0.0126030537287331
611	BMI	1.0039	0.9991-1.0087	0.00387500838483852	0.116425148919749	0.00246082804163785
612	hypertensionyes	0.987	0.9656-1.0089	-0.0131066336423956	0.24215671966856	0.011183001484367
613	s_Porphyromonas_asaccharolytica	0	0-960.6005	-26.0723626106016	0.121908683014384	16.8060822586762
614	sexmale	0.9872	0.9631-1.0119	-0.0128963332324854	0.307112194528842	0.0126050497528247
615	BMI	1.0038	0.999-1.0086	0.00378314574878662	0.124410542026169	0.00245499107061587
616	hypertensionyes	0.9865	0.9651-1.0083	-0.0136291500830658	0.22298867850276	0.0111600475283738
617	s_Piscicoccus_intestinalis	0	0-Inf	-15.7377447159584	0.976144077140491	525.830280119325
618	sexmale	0.9857	0.9615-1.0104	-0.0144515647961723	0.255143305084436	0.0126744877485646
619	BMI	1.004	0.9991-1.0088	0.00396920405518113	0.108155109520916	0.00246299871419515
620	hypertensionyes	0.9874	0.9659-1.0093	-0.0126905340832846	0.258362338034174	0.0112057538142732
621	s_Phocea_massiliensis	77866493742073659392	0-1.56166892010794e+45	45.8015274153982	0.124446599198957	29.7247738976159
622	sexmale	0.9858	0.9618-1.0104	-0.0142987356139334	0.256052678354239	0.0125645201243885
623	BMI	1.004	0.9992-1.0088	0.00397216751561236	0.106348659954057	0.00245213664154526
624	hypertensionyes	0.9879	0.9665-1.0097	-0.0121981242770384	0.27477322027257	0.0111478634596311
625	s_Phocaeicola_abscessus	1.83879628410987e+53	0-4.02552032205837e+233	122.646121092809	0.563109449646146	211.861663137694
626	sexmale	0.9856	0.9615-1.0103	-0.0145113731603031	0.250704453430817	0.012608177362537
627	BMI	1.0041	0.9992-1.0089	0.00404522817185714	0.101745892265668	0.00246409167924084
628	hypertensionyes	0.9871	0.9657-1.009	-0.012983879277426	0.247122224499432	0.011195753449367
629	s_Phaseolus_acutifolius	0	0-1.11810830648307e+25	-17.88437511085	0.643061092613073	38.5513472861992
630	sexmale	0.9853	0.9612-1.01	-0.0148060578535919	0.242020141534627	0.0126293324845003
631	BMI	1.0039	0.9991-1.0088	0.00392984642833077	0.111663953500653	0.00246287808499367
632	hypertensionyes	0.9874	0.966-1.0093	-0.0126464248826608	0.259147428102922	0.011185270519165
633	s_Peptostreptococcus_russellii	3.6582620454114e+237	0-Inf	547.009655223244	0.771437235872183	1881.25743994654
634	sexmale	0.9852	0.961-1.01	-0.014916257234242	0.241129299481132	0.0126992154447876
635	BMI	1.004	0.9992-1.0089	0.00400755079254435	0.105088693864804	0.00246501828205303
636	hypertensionyes	0.9875	0.9661-1.0094	-0.0125533636466012	0.263081433121685	0.0111951403648842
637	s_Pediococcus_pentosaceus	20378085308026.9	0-7.52329116723284e+152	30.6454811897525	0.851865448854792	163.961967674887
638	sexmale	0.9856	0.9615-1.0102	-0.0145402281257429	0.250123734248689	0.0126177359435938
639	BMI	1.004	0.9992-1.0089	0.00399347566026068	0.106300353205765	0.00246494878289214
640	hypertensionyes	0.9873	0.9659-1.0092	-0.0127741570408425	0.255080726532632	0.0112018685139795
641	s_Parasutterella_secunda	57.8455	0.1127-29700.9284	4.05777650896016	0.203573151367861	3.18426381283578
642	sexmale	0.9845	0.9605-1.0091	-0.015619307739285	0.216533324706833	0.0126114046806316
643	BMI	1.004	0.9991-1.0088	0.00394904056874837	0.108853899860195	0.00245536099015897
644	hypertensionyes	0.9859	0.9644-1.0078	-0.0142170741851887	0.206279755018297	0.0112236425195218
645	s_Parascardovia_denticolens	0	0-9.14136330192234e+44	-83.6204641688234	0.381887124901888	95.483172343196
646	sexmale	0.9857	0.9617-1.0104	-0.0143541001742919	0.255543795747803	0.0125996449959043
647	BMI	1.0038	0.999-1.0087	0.0038050265384127	0.123960953424223	0.00246622923605693
648	hypertensionyes	0.987	0.9655-1.0088	-0.0131315004998099	0.241424728580453	0.0111867693773972
649	s_Paracoccus_alkenifer	1e-04	0-4.27185147072859e+55	-8.99049005209974	0.897808218462633	69.9411823978254
650	sexmale	0.9856	0.9615-1.0103	-0.0145332715560627	0.250432585706386	0.0126199435631981
651	BMI	1.004	0.9991-1.0088	0.00395540543118666	0.109688661262068	0.0024651432475929
652	hypertensionyes	0.9874	0.9659-1.0093	-0.0127263485645392	0.256647069986784	0.0111968568282849
653	s_Paraburkholderia_tropica	1.07978411602909e+20	0-8.40419060309745e+98	46.1284629884702	0.619063182346322	92.6804115243453
654	sexmale	0.9859	0.9618-1.0105	-0.0142419818101368	0.260023563403904	0.0126197142495602
655	BMI	1.004	0.9991-1.0088	0.00394859443019872	0.109782164259056	0.00246154924267559
656	hypertensionyes	0.9876	0.9661-1.0095	-0.0125142202367848	0.264308708811092	0.0111890141407356
657	s_Parabacteroides_johnsonii	226.2798	0.1039-492763.0938	5.42177225062005	0.167855225156802	3.92143446276093
658	sexmale	0.985	0.961-1.0096	-0.0151263763955888	0.23027494812739	0.0125823757775106
659	BMI	1.0039	0.9991-1.0088	0.00392815555983502	0.110573298957641	0.00245428218631268
660	hypertensionyes	0.987	0.9656-1.0088	-0.013103891300839	0.241155064340937	0.0111568385018955
661	s_Parabacteroides_goldsteinii	3.8633	0.3442-43.3637	1.35151098511309	0.274224394609708	1.23373101815585
662	sexmale	0.9857	0.9617-1.0103	-0.0143929828967961	0.253883886796593	0.0125896103777858
663	BMI	1.0039	0.9991-1.0087	0.00387598725929904	0.116008003553032	0.00245862585315637
664	hypertensionyes	0.9883	0.9668-1.0102	-0.0118092404218552	0.292319650555503	0.011193898509594
665	s_Parabacteroides_faecis	0	0-1.4095307676988e+140	-2392.98291309368	0.0852193899228578	1385.55514437397
666	sexmale	0.9849	0.9609-1.0094	-0.0152574233237235	0.225400862718395	0.0125587187073678
667	BMI	1.004	0.9992-1.0088	0.00397742333956961	0.105526846086109	0.00244958228056472
668	hypertensionyes	0.9888	0.9674-1.0107	-0.011237286375453	0.314941164789913	0.0111629615353424
669	s_Parabacteroides_distasonis	28.1593	0.0133-59589.213	3.33787616102963	0.393605933366438	3.90681310455359
670	sexmale	0.9854	0.9614-1.0101	-0.0146956062659759	0.244516919330828	0.0126018592645372
671	BMI	1.0039	0.999-1.0087	0.00386215460301474	0.117868387885235	0.00246238873912955
672	hypertensionyes	0.988	0.9665-1.0099	-0.0121077887669698	0.280348230165869	0.0111947100788465
673	s_Parabacteroides_chinchillae	1317101683558938	0-1.91634156587306e+41	34.8142100231644	0.258282493920376	30.7358146548676
674	sexmale	0.9849	0.9608-1.0095	-0.0152528427551042	0.227265750484102	0.0126056031218536
675	BMI	1.0037	0.9988-1.0086	0.00367950487389534	0.137429909617609	0.0024701923807692
676	hypertensionyes	0.9885	0.9671-1.0105	-0.0115260313354683	0.304732911141103	0.0112103153432942
677	s_Pantoea_agglomerans	2.902	0.0565-149.1732	1.06538517777711	0.596500971541629	2.0100626434254
678	sexmale	0.9858	0.9617-1.0104	-0.014337003247533	0.256593669167927	0.0126125187674943
679	BMI	1.004	0.9992-1.0089	0.00403551987608663	0.102552268763485	0.00246399218407142
680	hypertensionyes	0.9876	0.9662-1.0095	-0.012494341859339	0.265061819577395	0.011188902149411
681	s_Paeniclostridium_sordellii	200.5108	0-79859931191.5053	5.30086807688779	0.60022066950149	10.1034040816731
682	sexmale	0.9846	0.9604-1.0096	-0.0154693502629388	0.225916312356044	0.0127473489824512
683	BMI	1.0041	0.9992-1.009	0.00407424955456441	0.099976675860406	0.0024688572946945
684	hypertensionyes	0.9876	0.9662-1.0095	-0.0124518505694892	0.266813181914589	0.0111918636356192
685	s_Paenalcaligenes_hominis	2389.9515	0-18017053507637.8	7.77902834276989	0.50314436247188	11.6037303569538
686	sexmale	0.986	0.9619-1.0107	-0.014103010309817	0.264654519737174	0.012618708543893
687	BMI	1.0039	0.9991-1.0088	0.00392763794446612	0.111611262876253	0.00246113025513243
688	hypertensionyes	0.9878	0.9663-1.0097	-0.0122875014862677	0.27331216754071	0.0111953329453656
689	s_Pacaella_massiliensis	8.41991683784656e+77	0-Inf	179.429652112007	0.549711558581934	299.60081633565
690	sexmale	0.9859	0.9618-1.0105	-0.0142373804552457	0.259982652273684	0.012614551689362
691	BMI	1.004	0.9992-1.0089	0.00399352467058117	0.105731152213639	0.0024609469012973
692	hypertensionyes	0.9869	0.9654-1.0088	-0.013200299315952	0.240241039324402	0.0112170505599727
693	s_Oxalobacter_formigenes	9.22730150853766e+53	3452168887277666-2.46636523036979e+92	124.259176573515	0.00628775676516572	45.1435701439325
694	sexmale	0.9869	0.9631-1.0114	-0.013137036277786	0.292721915134421	0.0124629104790464
695	BMI	1.005	1.0002-1.0099	0.00503545461997348	0.0416596817972743	0.00246110217620728
696	hypertensionyes	0.985	0.9639-1.0067	-0.0150757097636799	0.174689147661179	0.0110799047175465
697	s_Oscillibacter_ruminantium	1e-04	0-60155665.7703	-9.58945733198223	0.49488936023394	14.0315834295668
698	sexmale	0.9852	0.9612-1.0099	-0.0148628472907	0.239770893846757	0.0126171576789084
699	BMI	1.0039	0.999-1.0087	0.00387478464898587	0.116949833898886	0.00246423451442162
700	hypertensionyes	0.9871	0.9657-1.009	-0.0129404294110884	0.248340646375751	0.011187143025539
701	s_Oryzias_latipes	Inf	0-Inf	856.278439025073	0.612821428540788	1690.24395139667
702	sexmale	0.9848	0.9606-1.0097	-0.0153202361023333	0.229278809767755	0.0127163447813479
703	BMI	1.0042	0.9993-1.0091	0.0041969867438863	0.0944252093603916	0.00250116179689499
704	hypertensionyes	0.9868	0.9652-1.0088	-0.0133247506771252	0.237561130808328	0.011258225710055
705	s_Oribacterium_parvum	8.37968297413511e+22	0-1.56079844679202e+85	52.7826821283986	0.471169116502818	73.1542083118805
706	sexmale	0.9857	0.9617-1.0104	-0.0143556770758828	0.255708707190736	0.0126054114521821
707	BMI	1.0041	0.9992-1.0089	0.00407645190292485	0.099172440916262	0.00246430338528273
708	hypertensionyes	0.9877	0.9663-1.0096	-0.0123968562436504	0.268665690369425	0.0111857489843605
709	s_Olsenella_uli	5.51741979250771e+52	0-Inf	121.442335157807	0.925297019503373	1294.06849196076
710	sexmale	0.9856	0.9616-1.0103	-0.0144622566097061	0.252686010127869	0.0126182464627924
711	BMI	1.004	0.9992-1.0089	0.00398378400432362	0.107276931357248	0.00246585841958388
712	hypertensionyes	0.9874	0.966-1.0093	-0.0126422555137987	0.259663120608411	0.011193719859734
713	s_Oligella_urethralis	0	0-2.09186503438308e+34	-248.466029005351	0.138094634007479	167.087743977631
714	sexmale	0.985	0.9611-1.0096	-0.0150720192297238	0.231623936855134	0.0125735652866142
715	BMI	1.0038	0.999-1.0087	0.00383617117803413	0.119167300208345	0.00245450018280508
716	hypertensionyes	0.9867	0.9654-1.0085	-0.0133875063243103	0.231157405944319	0.0111571012606865
717	s_Oligella_ureolytica	1.1202	0.008-156.2916	0.113526048644481	0.964091269542533	2.51948860143188
718	sexmale	0.9857	0.9615-1.0104	-0.0144467315199306	0.254341018550904	0.0126488219633344
719	BMI	1.004	0.9991-1.0088	0.003968133229455	0.108258537895367	0.00246305952424615
720	hypertensionyes	0.9874	0.966-1.0093	-0.0126676999168519	0.258538183823986	0.0111897321279784
721	s_Odoribacter_laneus	756.2874	0-Inf	6.62842141962214	0.996339165717196	1443.42055475184
722	sexmale	0.9856	0.9614-1.0104	-0.0144937865432896	0.253779144536504	0.0126749810741101
723	BMI	1.004	0.9991-1.0088	0.00397054650063068	0.108339820744878	0.00246512771701538
724	hypertensionyes	0.9874	0.966-1.0093	-0.0126752590189591	0.258994510832669	0.011207166674861
725	s_Oceaniovalibus_guishaninsula	0	0-Inf	-137.276872703874	0.783816480849773	499.90800525709
726	sexmale	0.9855	0.9614-1.0102	-0.014615893546651	0.2478455887761	0.0126223510951778
727	BMI	1.004	0.9992-1.0088	0.00397898521322396	0.107155786467242	0.002462034826951
728	hypertensionyes	0.9876	0.9662-1.0096	-0.0124508391296269	0.267917782569367	0.0112168788843932
729	s_Oceanimonas_smirnovii	0	0-6.51155664813956e+30	-11.5601833175268	0.783816480849773	42.0976095160421
730	sexmale	0.9855	0.9614-1.0102	-0.014615893546651	0.2478455887761	0.0126223510951778
731	BMI	1.004	0.9992-1.0088	0.00397898521322396	0.107155786467242	0.002462034826951
732	hypertensionyes	0.9876	0.9662-1.0096	-0.0124508391296269	0.267917782569367	0.0112168788843932
733	s_Oblitimonas_alkaliphila	1484003442.1866	0-1.24726336286412e+52	21.1180093012216	0.675686612852938	50.4272282530776
734	sexmale	0.9858	0.9617-1.0105	-0.0143216612779992	0.25730284683805	0.0126178600290417
735	BMI	1.004	0.9991-1.0088	0.00395450120181798	0.109284453088176	0.00246176082050097
736	hypertensionyes	0.9876	0.9662-1.0095	-0.0124551309549863	0.266945711730989	0.0111979211298336
737	s_Neofamilia_massiliensis	3.3791751453163e+44	0-1.81049451123504e+190	102.531375731603	0.549711558581934	171.200710181559
738	sexmale	0.9859	0.9618-1.0105	-0.0142373804552457	0.259982652273684	0.012614551689362
739	BMI	1.004	0.9992-1.0089	0.00399352467058117	0.105731152213639	0.0024609469012973
740	hypertensionyes	0.9869	0.9654-1.0088	-0.013200299315952	0.240241039324402	0.0112170505599727
741	s_Neglecta_timonensis	434262937693.042	0-1.97335225630754e+65	26.7969160348145	0.671077234530937	63.0361473261864
742	sexmale	0.9855	0.9614-1.0101	-0.0146437666017133	0.24673925856981	0.0126167908294112
743	BMI	1.004	0.9992-1.0089	0.00402150616764383	0.103784700538989	0.00246427350890305
744	hypertensionyes	0.9874	0.966-1.0093	-0.0126853109062004	0.257713020776033	0.0111858395820124
745	s_Negativibacillus_massiliensis	756.2874	0-Inf	6.62842141962214	0.996339165717196	1443.42055475184
746	sexmale	0.9856	0.9614-1.0104	-0.0144937865432896	0.253779144536504	0.0126749810741101
747	BMI	1.004	0.9991-1.0088	0.00397054650063068	0.108339820744878	0.00246512771701538
748	hypertensionyes	0.9874	0.966-1.0093	-0.0126752590189591	0.258994510832669	0.011207166674861
749	s_Mycobacterium_tuberculosis	0	0-Inf	-867.370235178586	0.389927145423405	1007.34617817137
750	sexmale	0.9851	0.961-1.0097	-0.0150225435534897	0.234673816137867	0.0126145476417338
751	BMI	1.0039	0.9991-1.0088	0.00391307607231984	0.112768660357032	0.00245995947199153
752	hypertensionyes	0.9873	0.9659-1.0092	-0.0127832510922882	0.253635631728182	0.0111757120386626
753	s_Musa_itinerans	0	0-704.5399	-43.5196695561527	0.0895793834180982	25.5495992266855
754	sexmale	0.985	0.961-1.0095	-0.0151422795338613	0.228902046949942	0.0125584421549679
755	BMI	1.0035	0.9987-1.0084	0.00350555088080552	0.156086868028599	0.0024651198583655
756	hypertensionyes	0.9868	0.9655-1.0086	-0.0132531844560632	0.235091739635657	0.0111387683391281
757	s_Murdochiella_massiliensis	0	0-6.01302583517639e+28	-649.050428443259	0.0763849268077352	364.957519967191
758	sexmale	0.9878	0.9637-1.0126	-0.0122338880567586	0.332802529166428	0.0126108169731132
759	BMI	1.0036	0.9988-1.0085	0.00360073284156089	0.143979700381237	0.00245766437848182
760	hypertensionyes	0.9863	0.965-1.0081	-0.0138077969574744	0.216455927242196	0.0111468644289244
761	s_Mucispirillum_schaedleri	0	0-3.91335584768018e+293	-155.966545839776	0.713569959121149	424.483863962238
762	sexmale	0.9855	0.9614-1.0101	-0.014634233263747	0.247119180346892	0.0126187410066238
763	BMI	1.004	0.9992-1.0088	0.00398566268490503	0.106556048371201	0.0024619327003673
764	hypertensionyes	0.9872	0.9658-1.0091	-0.0128629515123142	0.251666278307171	0.0111987029674398
765	s_Moryella_indoligenes	0	0-3.30161751178689e+55	-490.894159186688	0.121030356244832	315.678955002466
766	sexmale	0.9848	0.9609-1.0094	-0.0152676615664169	0.225615222855198	0.0125729687033605
767	BMI	1.004	0.9992-1.0089	0.00401796106662917	0.102394164474783	0.00245213690715158
768	hypertensionyes	0.9864	0.9651-1.0082	-0.0136819520931827	0.221272765437731	0.0111616725263733
769	s_Mogibacterium_vescum	0	0-1.32574664260703e+22	-169.740117755508	0.132755045033643	112.591308982633
770	sexmale	0.9881	0.9638-1.0129	-0.0120042340928378	0.344338531921436	0.0126736610471217
771	BMI	1.0041	0.9993-1.0089	0.00405883032351781	0.0991180396620847	0.00245325380300488
772	hypertensionyes	0.9869	0.9656-1.0087	-0.0131772634894437	0.238274284111591	0.0111505852996555
773	s_Mogibacterium_timidum	1.59485821906057e+161	0-Inf	371.182984813456	0.451296987246793	492.104262233793
774	sexmale	0.9851	0.9611-1.0098	-0.0149857501710953	0.236031379199433	0.0126202765770702
775	BMI	1.0039	0.9991-1.0088	0.003907178462368	0.113494804759642	0.00246122787709101
776	hypertensionyes	0.9873	0.9659-1.0092	-0.0127878807438074	0.253618132369214	0.0111793464778205
777	s_Mobilibacterium_timonense	0.0132	0-996854258872.692	-4.32811058344708	0.790842884571146	16.3040719387774
778	sexmale	0.9854	0.9613-1.0101	-0.01469583806264	0.245862586832227	0.0126381230815708
779	BMI	1.004	0.9991-1.0088	0.00394883310260002	0.110014767318428	0.0024633167827681
780	hypertensionyes	0.9875	0.966-1.0094	-0.0126148662232303	0.260537570547983	0.0111900264870715
781	s_Mitsuokella_jalaludinii	2.13454113714056e+64	0-Inf	148.123697651144	0.887979472738027	1050.62936400568
782	sexmale	0.9857	0.9616-1.0104	-0.0144225591671859	0.25418735207119	0.0126235636282823
783	BMI	1.004	0.9991-1.0088	0.00396704993715375	0.108242021833443	0.00246227133587945
784	hypertensionyes	0.9873	0.9658-1.0092	-0.0127860932771978	0.255318360471517	0.0112179564044902
785	s_Millionella_massiliensis	0	0-8288080.9481	-96.2342087304173	0.0937211892524398	57.2268049697715
786	sexmale	0.9849	0.9609-1.0094	-0.0152388819004245	0.226087757348218	0.0125620848611436
787	BMI	1.0039	0.9991-1.0087	0.00387182995564845	0.115262077310528	0.00245094089152171
788	hypertensionyes	0.9888	0.9674-1.0107	-0.0112706322323344	0.313645822220251	0.0111661052371789
789	s_Methanosphaera_cuniculi	12.9471	0.0016-104733.473	2.56086911717093	0.577409068032735	4.59097190412062
790	sexmale	0.9859	0.9618-1.0105	-0.0142392965155291	0.259993086108712	0.012616526180709
791	BMI	1.0041	0.9992-1.0089	0.00404960768107916	0.101487204365263	0.00246488570031183
792	hypertensionyes	0.9871	0.9657-1.009	-0.0129682408629503	0.247694694370104	0.0111958493966372
793	s_Merdibacter_massiliensis	0	0-2.16591690116704e+225	-231.491856698125	0.545862009040863	382.829768573732
794	sexmale	0.9854	0.9613-1.0101	-0.0147037865708011	0.244651912183715	0.0126124909676091
795	BMI	1.004	0.9991-1.0088	0.00394813855139705	0.109733352423161	0.00246092533697065
796	hypertensionyes	0.9871	0.9657-1.009	-0.0129429643785072	0.2484182587416	0.0111911746370219
797	s_Megamonas_funiformis	1.98726322151516e+67	0-Inf	154.959959657222	0.74756403459657	481.002380528721
798	sexmale	0.9854	0.9613-1.0101	-0.0146912243134279	0.245666521313415	0.0126288981296616
799	BMI	1.004	0.9991-1.0088	0.0039539309786698	0.109415990920953	0.00246232323485782
800	hypertensionyes	0.9874	0.966-1.0093	-0.0126667504261617	0.258470504494937	0.0111872996586852
801	s_Massilioclostridium_coli	2.5098529767422e+26	0-1.15463220797861e+117	60.7874365942702	0.568631151296207	106.509592420737
802	sexmale	0.9854	0.9614-1.0101	-0.0146638016703745	0.245918685166206	0.0126120740841457
803	BMI	1.0041	0.9993-1.009	0.00411502107175022	0.0972932183614766	0.00247368941395825
804	hypertensionyes	0.9876	0.9662-1.0095	-0.0124716685466968	0.265911865618085	0.0111885214647669
805	s_Massilimaliae_massiliensis	3.97288589671059e+49	0-3.27175410734953e+192	114.206162313448	0.496909061136503	167.895664187122
806	sexmale	0.9858	0.9618-1.0105	-0.014253874844296	0.259262085359597	0.0126100390029116
807	BMI	1.004	0.9992-1.0088	0.00397345530755843	0.107384584814848	0.00246022226544274
808	hypertensionyes	0.9875	0.9661-1.0093	-0.0126229417442406	0.259831769273604	0.0111805842446247
809	s_Marseilla_massiliensis	87864657803394.2	13.8822-5.56122772954406e+26	32.1068187669954	0.0336085235344307	15.0388839537768
810	sexmale	0.987	0.963-1.0115	-0.0131000311006891	0.296821754911637	0.0125339784376714
811	BMI	1.0042	0.9994-1.009	0.00416933577446523	0.0891915679527996	0.00244476329228591
812	hypertensionyes	0.9852	0.9639-1.007	-0.0149254360913037	0.181835133455905	0.0111521374953894
813	s_Marivirga_tractuosa	0	0-Inf	-137.276872703874	0.783816480849773	499.90800525709
814	sexmale	0.9855	0.9614-1.0102	-0.014615893546651	0.2478455887761	0.0126223510951778
815	BMI	1.004	0.9992-1.0088	0.00397898521322396	0.107155786467242	0.002462034826951
816	hypertensionyes	0.9876	0.9662-1.0096	-0.0124508391296269	0.267917782569367	0.0112168788843932
817	s_Marinobacter_litoralis	0	0-1.40321926889113e+28	-10.5597864380371	0.783816480849774	38.4545602635295
818	sexmale	0.9855	0.9614-1.0102	-0.014615893546651	0.2478455887761	0.0126223510951778
819	BMI	1.004	0.9992-1.0088	0.00397898521322396	0.107155786467242	0.002462034826951
820	hypertensionyes	0.9876	0.9662-1.0096	-0.0124508391296269	0.267917782569367	0.0112168788843932
821	s_Marinicella_litoralis	0	0-Inf	-366.032457891685	0.783816480849773	1332.94525348565
822	sexmale	0.9855	0.9614-1.0102	-0.014615893546651	0.2478455887761	0.0126223510951778
823	BMI	1.004	0.9992-1.0088	0.00397898521322396	0.107155786467242	0.002462034826951
824	hypertensionyes	0.9876	0.9662-1.0096	-0.0124508391296269	0.267917782569367	0.0112168788843932
825	s_Mailhella_massiliensis	171191631638.979	872.2574-33598538995246120960	25.8660494188459	0.00837019636560752	9.74232899938079
826	sexmale	0.9853	0.9615-1.0096	-0.0148519145257466	0.234442075031909	0.0124650791601896
827	BMI	1.0036	0.9988-1.0084	0.00360655925863816	0.139914889903777	0.00243657037854787
828	hypertensionyes	0.9863	0.9651-1.0079	-0.0138134564415041	0.212841532326428	0.0110636314051078
829	s_Luteimonas_tolerans	0	0-Inf	-232.026095693215	0.768078747343371	786.085878409199
830	sexmale	0.9858	0.9617-1.0105	-0.014344763682518	0.256726241330102	0.0126228714301793
